Cust_Number	Type	Trans_Number	Item	Price	Quantity	 Payment 		
1236	P	9891	Payment	" $(1,000)"		" $1,000 "		
1236	P	9743	Payment	 $(422)		 $422 		
1236	O	9244	Item 3	 $771 	6			
1236	O	9638	Item 4	 $383 	8			
1236	O	9822	Item 5	 $998 	2			
1301	P	9622	Payment	" $(1,200)"		" $1,200 "		
1301	O	9477	Item 7	 $521 	3			
1301	P	9688	Payment	 $(300)		 $300 		
1301	O	9360	Item 9	 $723 	9			
1301	O	9930	Item 10	 $772 	8			
1349	P	9502	Payment	 $(876)		 $876 		
1349	O	9317	Item 12	 $541 	1			
1349	O	9451	Item 13	" $1,200 "	8			
1349	O	9750	Item 14	 $460 	5			
1349	O	9977	Item 15	" $4,000 "	3			
1380	P	9010	Payment	 $(750)		 $750 		
1380	O	9317	Item 17	 $253 	9			
1380	O	9611	Item 18	 $449 	1			
1380	O	9970	Item 19	 $372 	9			
1380	O	9989	Item 20	 $233 	6			
1522	O	9487	Item 1	 $427 	4			
1522	P	9884	Payment	 $(500)		 $500 		
1522	O	9109	Item 3	 $771 	7			
1522	O	9577	Item 4	 $383 	8			
1522	O	9296	Item 5	 $997 	3			
1546	P	9628	Payment	 $(100)		 $100 		
1546	O	9715	Item 7	 $522 	6			
1546	P	9769	Payment	 $(250)		 $250 		
1546	O	9580	Item 9	 $722 	1			
1546	O	9438	Item 10	 $771 	8			
1808	P	9711	Payment	" $(3,000)"		" $3,000 "		
1808	O	9045	Item 12	 $541 	1			
1808	O	9636	Item 13	" $1,200 "	4			
1808	O	9432	Item 14	 $461 	7			
1808	O	9319	Item 15	" $4,000 "	4			
1626	O	9660	Item 16	 $357 	6			
1626	P	9546	Payment	 $(500)		 $500 		
1626	O	9557	Item 18	 $449 	9			
1626	O	9876	Item 19	 $372 	7			
1626	O	9653	Item 20	 $234 	3			
1711	P	9875	Payment	 $(870)		 $870 		
1711	O	9405	Item 9	 $723 	10			
1711	O	9142	Item 10	 $772 	5			
1711	O	9241	Item 11	 $275 	1			
								
